Date,Rain_mm
3/4/2019,0.1
3/5/2019,0
3/6/2019,0
3/7/2019,0
3/8/2019,0
3/9/2019,0
3/10/2019,0
3/11/2019,2.5
3/12/2019,2
3/13/2019,0.6
3/14/2019,0
3/15/2019,7.3
3/16/2019,0.3
3/17/2019,0.8
3/18/2019,7.9
3/19/2019,0.9
3/20/2019,0
3/21/2019,0.1
3/22/2019,1
3/23/2019,0.2
3/24/2019,0
3/25/2019,0
3/26/2019,0.3
3/27/2019,8
3/28/2019,0
3/29/2019,0
3/30/2019,0
3/31/2019,5.9
4/1/2019,22.4
4/2/2019,0.6
4/3/2019,2
4/4/2019,0
4/5/2019,0
4/6/2019,0
4/7/2019,0
4/8/2019,0
4/9/2019,0.6
4/10/2019,0
4/11/2019,0
4/12/2019,0
4/13/2019,0
4/14/2019,0.2
4/15/2019,0
4/16/2019,0
4/17/2019,0
4/18/2019,0
4/19/2019,0
4/20/2019,0
4/21/2019,0
4/22/2019,0
4/23/2019,0
4/24/2019,0
4/25/2019,0.7
4/26/2019,0
4/27/2019,0
4/28/2019,0
4/29/2019,0
4/30/2019,0
5/1/2019,0
5/2/2019,0
5/3/2019,
5/4/2019,0
5/5/2019,0
5/6/2019,7
5/7/2019,1.4
5/8/2019,3.3
5/9/2019,0.2
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/13/2019,0
5/14/2019,0.2
5/15/2019,0
5/16/2019,9.7
5/17/2019,0
5/18/2019,0
5/19/2019,0
5/20/2019,0
5/21/2019,0.4
5/22/2019,1.2
5/23/2019,121
5/24/2019,30
5/25/2019,42.6
5/26/2019,2.8
5/27/2019,24.4
5/28/2019,0.6
5/29/2019,1.6
5/30/2019,4.4
5/31/2019,28.1
6/1/2019,51.8
6/2/2019,5
6/3/2019,0
6/4/2019,0
6/5/2019,0.2
6/6/2019,0
6/7/2019,8.2
6/8/2019,0.6
6/9/2019,0
6/10/2019,0
6/11/2019,18.3
6/12/2019,88.2
6/13/2019,4.7
6/14/2019,4.7
6/15/2019,0.7
6/16/2019,1.1
